ListEntry,Name,Grade,hyperlink,NGR,Easting,Northing,lat,lon
1000190,WEST DEAN,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000190,SU8631211814,486727,111951,50.90053255620989,-0.7680599315619678
1000191,ALTON TOWERS,I,https://historicengland.org.uk/listing/the-list/list-entry/1000191,SK 07909 43048,407909,343048,52.98471500677052,-1.8836426621084306
1000192,HARTWELL HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000192,SP 79801 12583,479801,212583,51.806201010198905,-0.8439869029707749
1000193,ROCKBEARE MANOR,II,https://historicengland.org.uk/listing/the-list/list-entry/1000193,SY 02963 94037,302964,94034,50.73778328644931,-3.376492665070224
1000194,WANSTEAD PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000194,TQ4104087270,540989,187461,51.56840155464443,0.032857752752242834
1000195,BENENDEN,II,https://historicengland.org.uk/listing/the-list/list-entry/1000195,TQ 80303 33919,580304,133924,51.07631199288327,0.5724990863881924
1000196,PITTVILLE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000196,SO 95115 23484,395115,223484,51.90986786667854,-2.072419923851081
1000197,HYLANDS PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000197,TL 68438 04206,568438,204208,51.71131837864875,0.43660464342392424
1000198,STOWE,I,https://historicengland.org.uk/listing/the-list/list-entry/1000198,SP 67511 38301,467517,238294,52.038945817834694,-1.0170865441424133
1000199,HAWKSTONE,I,https://historicengland.org.uk/listing/the-list/list-entry/1000199,SJ5936229138,358535,330054,52.866358843779864,-2.6173911258708515
1000200,THE HIGH BEECHES,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000200,TQ 27612 30688,527612,130688,51.061356904833985,-0.18034054760251264
1000201,BELPER CEMETERY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000201,SK 35143 49019,435143,349019,53.03729895302348,-1.4773522885060928
1000202,HORSTED PLACE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000202,TQ 46927 18431,546927,118431,50.94659916702949,0.0901457562341689
1000203,HEATHFIELD PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000203,TQ 59317 20876,559317,120875,50.96527113445094,0.2674454197064219
1000204,PRESTON MANOR AND PRESTON PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000204,"TQ 30563 06266, TQ3031706108",530565,106269,50.841225756173415,-0.14697335924786634
1000205,"THE ROYAL PAVILION, BRIGHTON",II,https://historicengland.org.uk/listing/the-list/list-entry/1000205,TQ 31244 04227,531244,104227,50.82271931477206,-0.13806548683261938
1000206,HATFIELD PRIORY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000206,TL 79604 10910,579605,210910,51.76805376722043,0.6015208072232301
1000207,"NEW HALL, BOREHAM",II,https://historicengland.org.uk/listing/the-list/list-entry/1000207,TL 73380 10214,573380,210213,51.76375382649028,0.5110526431775326
1000208,COLCHESTER CASTLE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000208,TL 99818 25598,599818,225598,51.89310123515112,0.902545893995129
1000209,LAYER MARNEY TOWER,II,https://historicengland.org.uk/listing/the-list/list-entry/1000209,TL 92836 17538,592836,217538,51.823178405636874,0.7967154378883444
1000210,BLOOMSBURY SQUARE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000210,TQ 30336 81674,530336,181674,51.518957113770554,-0.12289737653134072
1000211,DANSON PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000211,"TQ4743874937, TQ4710575029",547105,175031,51.45515335164313,0.11585670878939815
1000212,"CORAM'S FIELDS, with MECKLENBURGH and BRUNSWICK SQUARES",II,https://historicengland.org.uk/listing/the-list/list-entry/1000212,TQ 30496 82277,530496,182277,51.52433912101188,-0.12036956149333106
1000213,RUSSELL SQUARE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000213,TQ3008682021,530107,181974,51.52170584284558,-0.1260853248584026
1000214,STRAWBERRY HILL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000214,TQ 15871 72275,515871,172275,51.43763136930764,-0.33435650588895677
1000215,EMBLEY PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000215,SU 32390 20704,432390,120710,50.98488848610125,-1.5399400553387408
1000216,HURSTBOURNE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000216,SU4415748274,444143,147453,51.22457012831868,-1.3692513582344326
1000217,PISHIOBURY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000217,TL4775414024,547884,213230,51.79816941569224,0.14317629246275962
1000218,TRING PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000218,SP9277210619,492917,210682,51.78709068784578,-0.6543166117589783
1000219,CASSIOBURY PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000219,TQ 08685 97453,508684,197453,51.66535474851759,-0.42994140923144203
1000220,POLES PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000220,TL3511016316,535320,216133,51.827433333261496,-0.03777055530561386
1000221,GREAT MAYTHAM,II,https://historicengland.org.uk/listing/the-list/list-entry/1000221,TQ 84569 30799,584569,130799,51.04688639455324,0.6317219000417075
1000222,WOODVALE CEMETERY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000222,TQ 32601 05688,532601,105688,50.83554137719656,-0.11828293566478768
1000223,SQUERRYES COURT,II,https://historicengland.org.uk/listing/the-list/list-entry/1000223,TQ4418253225,543999,153446,51.261992104670384,0.0624531583965084
1000224,LYNFORD HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000224,TL8209593938,581932,293538,52.509369206994585,0.6793926026098365
1000225,DITCHINGHAM HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000225,TM 32142 92780,632143,292780,52.48352226296895,1.4174630000525437
1000226,CHILTON HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000226,TL8888442765,588940,242794,52.05131849244974,0.7541155901200385
1000227,CHRISTCHURCH MANSION,II,https://historicengland.org.uk/listing/the-list/list-entry/1000227,TM 16419 45285,616419,245285,52.06364136558496,1.1558346522073255
1000228,MELFORD HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000228,TL8675746317,587039,246338,52.08378929213403,0.7283654474912048
1000229,PYRFORD COURT,II,https://historicengland.org.uk/listing/the-list/list-entry/1000229,TQ 03243 57996,503243,157996,51.31172214968925,-0.5201100210860075
1000230,BUCKHURST PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000230,TQ4978934894,550096,134818,51.09303605167942,0.1419998911746456
1000231,HERSTMONCEUX CASTLE AND PLACE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000231,TQ 64645 10713,564645,110713,50.87247026617356,0.3386711907522984
1000232,NEWICK PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000232,TQ 42140 19150,542140,119150,50.9542597821782,0.022328996759021662
1000233,PENNS IN THE ROCKS,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000233,TQ 51784 34667,551784,134667,51.09123532457374,0.1660228572338218
1000234,PLUMPTON PLACE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000234,TQ 36040 13498,536040,113498,50.904934953368475,-0.06657233899645175
1000235,FIRLE PLACE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000235,TQ 47496 07424,547495,107418,50.84748729835097,0.0937815709956456
1000236,THE HOO,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000236,TQ 58887 02377,558887,102377,50.799177208783036,0.2532926586398262
1000237,St Osyth's Priory,II,https://historicengland.org.uk/listing/the-list/list-entry/1000237,TM 11838 16414,611837,216413,51.80620415865691,1.0713311228219609
1000238,BRIDGE END GARDENS,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000238,TL 53651 38757,553651,238757,52.02595074132656,0.2381169700317513
1000239,RIFFHAMS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000239,TL 77181 06038,577181,206039,51.72507386155228,0.5639498404287854
1000240,SPAINS HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000240,"TL 68011 33827, TL6766033951",568011,233827,51.97750758802563,0.44480770074806675
1000241,LANGLEYS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000241,TL 69946 13586,569944,213587,51.79511403372781,0.4629619439545249
1000242,LADBROKE ESTATE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000242,"TQ 24838 80619, TQ 24664 80546, TQ 24589 80506, TQ 24511 80611, TQ 24414 80574, TQ 24366 80713, TQ 24412 80894, TQ 24564 80685, TQ 24480 80826, TQ 24337 80975, TQ 24565 80997, TQ 24711 80838, TQ 24792 80758, TQ 24473 80456, TQ 24607 80903, TQ 24648 80757",524838,180619,51.51071650209654,-0.2024688794592857
1000243,MYDDELTON HOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000243,TQ 34142 99219,534142,199219,51.675729504093276,-0.061373304237285646
1000244,THE HILL (INVERFORTH HOUSE),II*,https://historicengland.org.uk/listing/the-list/list-entry/1000244,TQ 26060 86732,526060,186732,51.565382280777364,-0.18268226439505747
1000245,BEDFORD SQUARE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000245,TQ 29840 81662,529840,181662,51.518963395125155,-0.13004639671156115
1000246,REGENT'S PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000246,"TQ 27987 82893, TQ2868582116",527987,182893,51.53044860068392,-0.1562913769954199
1000247,HALL PLACE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000247,TQ 50240 74176,550240,174176,51.44664852651398,0.16058112696227514
1000248,BROMPTON CEMETERY,I,https://historicengland.org.uk/listing/the-list/list-entry/1000248,TQ 25719 77766,525719,177766,51.48488150521977,-0.19079596502758434
1000249,WARBROOK HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000249,SU7691961766,477297,161659,51.34876369714499,-0.891488433900668
1000250,ELVETHAM HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000250,SU 77868 56619,477868,156619,51.30337613160925,-0.8843909250121356
1000251,MOOR PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000251,TQ 07336 93265,507336,193263,51.627954082910435,-0.4507085852023552
1000252,WORMLEYBURY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000252,TL3540805714,535162,205970,51.73614910388645,-0.044015811948296825
1000253,YOUNGSBURY,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000253,TL3649118069,536577,217797,51.84207973350574,-0.018885712519069963
1000254,WROTHAM PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000254,TQ2448998979,524672,198830,51.67441335122031,-0.19839594740702657
1000255,KNEBWORTH,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000255,TL 22786 20802,522786,220802,51.87228432616076,-0.2178955686462035
1000256,MOUNT EPHRAIM,II,https://historicengland.org.uk/listing/the-list/list-entry/1000256,TR 06540 60057,606542,160056,51.30214149783867,0.9615672616082097
1000257,BAYHAM ABBEY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000257,TQ 64079 36608,564080,136609,51.10530044690473,0.3423343165387877
1000258,CHEVENING,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000258,TQ4775458038,548251,157812,51.300134352224475,0.12515992429986325
1000259,WALDERSHARE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000259,TR 28725 47862,628725,147862,51.18420121290206,1.271480456123762
1000260,GOODNESTONE PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000260,TR 25473 54136,625473,154136,51.241817799146965,1.2289676171633197
1000261,CHILHAM CASTLE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000261,TR0622052790,606418,152876,51.23771125965369,0.9556486194859176
1000262,SANDLING PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000262,TR 13805 36367,613805,136367,51.08675589334075,1.0515077485237525
1000263,CHARTWELL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000263,TQ 45631 51776,545631,151776,51.246571459397366,0.08514785422283787
1000264,Linton Park,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000264,TQ7587649911,575874,149912,51.22131154702737,0.5171306487530373
1000265,ERIDGE PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000265,TQ 57533 34287,557533,134287,51.086272019886906,0.24788373303993616
1000266,CALVERLEY PARK AND CALVERLEY GROUNDS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000266,TQ 58820 39298,558820,139298,51.13094138161006,0.2684480272738778
1000267,STONEWALL PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000267,TQ 50430 42374,550430,142374,51.16084467345966,0.14991663333346417
1000268,LEXHAM HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000268,TF8670317531,586674,317147,52.7197610247627,0.7625001856313695
1000269,CATTON HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000269,TG2291311811,623222,311723,52.65725408888669,1.299065753171998
1000270,HELMINGHAM HALL,I,https://historicengland.org.uk/listing/the-list/list-entry/1000270,TM 18220 57658,618218,257659,52.174012754329986,1.1899626837856112
1000271,CHANTRY PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000271,TM1381144049,613815,243978,52.052918372083205,1.1170896586012395
1000272,GREATHED MANOR,II,https://historicengland.org.uk/listing/the-list/list-entry/1000272,TQ4134542033,541334,142063,51.16036736769227,0.019802233729472575
1000273,BIGNOR PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000273,SU9902115851,499121,115672,50.93199096070135,-0.5908532135480272
1000274,BORDE HILL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000274,TQ 31891 26412,531891,126412,51.0219609674744,-0.12086899559718636
1000275,HEASELANDS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000275,TQ 31140 22799,531140,122799,50.989660955827624,-0.13287491651163694
1000276,HOPE END,II,https://historicengland.org.uk/listing/the-list/list-entry/1000276,SO 72508 40578,372506,240579,52.062898557039794,-2.402456184586449
