url,reference,text_content,error
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37028,1003237,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28887,1003242,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49761,1003276,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40982,1003300,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41665,1003309,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43450,1003493,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49789,1003543,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29822,1003621,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/408263,1003651,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26183,1003698,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43371,1003716,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43179,1003777,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40593,1003847,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45157,1003857,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43440,1003879,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27186,1003912,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26583,1003997,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46078,1003999,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26247,1004002,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38794,1004128,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47105,1004202,NA,cannot open the connection
